Date,UT time,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation
2016-01-31,24:00:00,297.71,72.4,1010.41,2.93,61.77,14.768082,0,0,170273.6
2016-02-28,24:00:00,299.39,71.2,1009.53,2.67,111.43,2.258317,0,0,182264.7
2016-03-31,24:00:00,301.68,66.22,1007.51,3.48,149.35,1.627418,0,0,202793.5
2016-04-30,24:00:00,304.11,65.19,1004.31,5.07,169.53,6.789161,0,0,204833.8
2016-05-31,24:00:00,304.1,66.5,1001.76,2.83,205.63,181.684152,0,0,161929.6
2016-06-30,24:00:00,302.61,70.23,1000.87,3.59,252.05,105.167916,0,0,120820.9
2016-07-31,24:00:00,302.18,71.26,1001.27,3.79,237.82,98.660952,0,0,131605.3
2016-08-31,24:00:00,302.64,68.64,1001.05,3.46,249.46,136.438236,0,0,145372.1
2016-09-30,24:00:00,302.15,70.07,1002.11,2.53,243,84.808296,0,0,132669.3
2016-10-31,24:00:00,301.82,65.51,1004.36,0.66,17.17,36.633096,0,0,156049.2
2016-11-30,24:00:00,299.94,67.81,1007.35,3.76,38.95,22.003074,0,0,156454
2016-12-31,24:00:00,298.07,73.9,1008.08,3.49,34.8,75.255192,0,0,154663.8
2017-01-31,24:00:00,297.98,70.57,1009.54,4.03,51.7,12.433806,0,0,172758.5
2017-02-28,24:00:00,298.49,65.26,1009.67,2.66,86.54,0.994153,0,0,183153.4
2017-03-31,24:00:00,301.7,65.24,1006.31,3.66,149.11,23.523271,0,0,210608.9
2017-04-30,24:00:00,303.96,63.47,1003.65,4.56,170,8.977446,0,0,190096.8
2017-05-31,24:00:00,304.94,62.08,1001.86,3.29,188.35,39.7467,0,0,149137
2017-06-30,24:00:00,303.75,63.64,1000.88,3.45,235.21,139.687236,0,0,123533.2
2017-07-31,24:00:00,303.15,66.45,1001.35,2.95,248.27,109.657836,0,0,135823.4
2017-08-31,24:00:00,301.9,75.52,1000.94,2.8,239.29,194.998104,0,0,124808.7
2017-09-30,24:00:00,301.21,79.49,1002.86,2.25,215.59,275.912604,0,0,114635.2
2017-10-31,24:00:00,300.99,79.23,1003.69,0.16,55.94,197.209872,0,0,120440
2017-11-30,24:00:00,299.66,82.6,1005.72,4.53,30.03,230.84028,0,0,125421.6
2017-12-31,24:00:00,298.15,75.92,1008.7,4.24,40.53,10.191816,0,0,159435.7
2018-01-31,24:00:00,297.35,72.43,1008.13,3.73,48.89,6.764159,0,0,171011
2018-02-28,24:00:00,298.45,69.44,1008.98,3.02,71.73,4.318888,0,0,162505.2
2018-03-31,24:00:00,301.08,65.95,1006.31,2.75,135.18,10.311419,0,0,202301
2018-04-30,24:00:00,303.62,64.73,1004.15,4.16,153.95,15.279098,0,0,198570.6
2018-05-31,24:00:00,304.02,67.55,1001.83,3.96,172.26,56.29572,0,0,138086.6
2018-06-30,24:00:00,303.54,64.52,1000.26,3.71,233.51,101.586276,0,0,124552.2
2018-07-31,24:00:00,303.23,63.94,1000.12,4.37,245.59,70.522956,0,0,134340.6
2018-08-31,24:00:00,302.76,66.4,1000.77,3.77,258.04,132.376176,0,0,133288.3
2018-09-30,24:00:00,301.93,72.14,1003.46,1.56,197.91,109.519236,0,0,139339.9
2018-10-31,24:00:00,301.06,74.64,1006.01,2.03,56.84,94.814856,0,0,147715.9
2018-11-30,24:00:00,299.96,75.58,1007.86,4.11,52.48,67.969116,0,0,150189.7
2018-12-31,24:00:00,298.35,77.26,1008.8,4.19,38.12,124.227468,0,0,150829.8
2019-01-31,24:00:00,297.35,70.89,1010.71,3.94,55.22,2.249943,0,0,171136.5
2019-02-28,24:00:00,299.87,69.04,1009.2,3.05,95.68,4.772495,0,0,177640
2019-03-31,24:00:00,302.17,62.54,1007.08,3.84,146.19,2.334746,0,0,219517.1
2019-04-30,24:00:00,303.88,62.59,1004.47,4.12,156.99,12.546072,0,0,209490.8
2019-05-31,24:00:00,304.6,66.7,1001.87,4.54,180.38,54.05238,0,0,136409
2019-06-30,24:00:00,304.56,63.94,1000.29,3.29,205.15,121.28976,0,0,118138.4
2019-07-31,24:00:00,302.98,68.21,1000.88,3.71,224.27,187.540236,0,0,121517
2019-08-31,24:00:00,301.92,73.06,1001.38,4.19,233.19,247.527792,0,0,124991.7
