Date,UT time,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation
2016-01-31,24:00:00,297.58,72.81,1010.23,2.93,59.68,14.577491,0,0,170633.2
2016-02-28,24:00:00,299.39,70.73,1009.36,2.62,108.94,2.455165,0,0,182691.4
2016-03-31,24:00:00,301.8,65.04,1007.35,3.37,147.93,1.730682,0,0,203900.2
2016-04-30,24:00:00,304.2,64.33,1004.17,4.92,168.69,6.931274,0,0,204446.8
2016-05-31,24:00:00,304.1,65.98,1001.65,2.74,204.8,176.482044,0,0,162364.8
2016-06-30,24:00:00,302.56,70.03,1000.75,3.49,251.01,101.233296,0,0,121487.9
2016-07-31,24:00:00,302.12,71.1,1001.18,3.74,237.37,94.971528,0,0,131317
2016-08-31,24:00:00,302.57,68.55,1000.95,3.37,248.21,129.399264,0,0,144217.2
2016-09-30,24:00:00,302.08,70.21,1002,2.4,241.25,86.643576,0,0,132191.6
2016-10-31,24:00:00,301.73,65.79,1004.21,0.58,23.28,36.525024,0,0,156625.2
2016-11-30,24:00:00,299.88,67.7,1007.18,3.75,38.75,21.52323,0,0,156633.4
2016-12-31,24:00:00,297.94,73.98,1007.9,3.46,33.97,65.681532,0,0,155284
2017-01-31,24:00:00,297.93,70.3,1009.35,4.04,50.71,13.809906,0,0,173200.2
2017-02-28,24:00:00,298.49,64.48,1009.49,2.69,83.78,1.036674,0,0,183818.2
2017-03-31,24:00:00,301.79,64.27,1006.15,3.56,147.65,25.263842,0,0,210494
2017-04-30,24:00:00,304.08,62.35,1003.5,4.43,169.26,8.892673,0,0,190390.3
2017-05-31,24:00:00,305.05,60.91,1001.73,3.22,188.69,40.661604,0,0,149703
2017-06-30,24:00:00,303.81,62.59,1000.76,3.43,235.18,131.383224,0,0,124850.2
2017-07-31,24:00:00,303.17,65.92,1001.23,2.83,247.23,111.912768,0,0,135278
2017-08-31,24:00:00,301.81,75.81,1000.83,2.71,238.5,202.127364,0,0,124193.2
2017-09-30,24:00:00,301.12,79.81,1002.73,2.23,214.83,290.300292,0,0,114530.6
2017-10-31,24:00:00,300.9,79.64,1003.53,0.15,55.24,203.726484,0,0,120047.1
2017-11-30,24:00:00,299.55,83.13,1005.53,4.44,29.02,232.092216,0,0,124714.5
2017-12-31,24:00:00,298.02,76.52,1008.51,4.2,39.74,10.426302,0,0,159167
2018-01-31,24:00:00,297.21,72.88,1007.95,3.74,47.6,7.123032,0,0,171557.5
2018-02-28,24:00:00,298.41,69.32,1008.8,3.04,70.03,4.945637,0,0,162570.9
2018-03-31,24:00:00,301.11,65.29,1006.15,2.67,133.08,10.926778,0,0,202094.5
2018-04-30,24:00:00,303.71,63.84,1004,4.06,153.18,15.493381,0,0,198396.1
2018-05-31,24:00:00,304.07,66.73,1001.68,3.86,172.14,57.88908,0,0,137897.4
2018-06-30,24:00:00,303.55,63.8,1000.15,3.74,234.3,91.903248,0,0,125104.9
2018-07-31,24:00:00,303.23,63.43,1000.03,4.33,244.8,78.1911,0,0,134783.9
2018-08-31,24:00:00,302.79,65.84,1000.66,3.66,256.63,124.927344,0,0,132364.2
2018-09-30,24:00:00,301.88,72.15,1003.32,1.51,195.39,112.049748,0,0,139640.6
2018-10-31,24:00:00,300.91,75.25,1005.86,1.98,56.07,95.392944,0,0,147511.9
2018-11-30,24:00:00,299.84,75.98,1007.68,4.06,51.5,69.22764,0,0,150579
2018-12-31,24:00:00,298.24,77.6,1008.62,4.15,37.39,123.088824,0,0,151252.2
2019-01-31,24:00:00,297.27,70.83,1010.52,3.93,54.09,2.219459,0,0,171599.5
2019-02-28,24:00:00,299.95,68.28,1009.01,3.03,94.05,4.999226,0,0,178039
2019-03-31,24:00:00,302.26,61.51,1006.92,3.76,145.24,2.585489,0,0,219879.1
2019-04-30,24:00:00,304,61.53,1004.31,4.02,156.2,11.956561,0,0,209865.4
2019-05-31,24:00:00,304.67,65.87,1001.74,4.41,180.02,54.1062,0,0,136799.1
2019-06-30,24:00:00,304.62,63.07,1000.16,3.22,205.35,104.79438,0,0,119069.7
2019-07-31,24:00:00,302.94,67.84,1000.77,3.67,225.03,178.767756,0,0,121192.3
2019-08-31,24:00:00,301.86,72.92,1001.29,4.16,233.07,258.407568,0,0,125650.4
