Date,UT time,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation
2016-01-31,24:00:00,297.82,72.13,1010.74,2.99,62.15,14.5368,0,0,170352.4
2016-02-28,24:00:00,299.44,71.41,1009.87,2.72,111.37,2.192291,0,0,182061.9
2016-03-31,24:00:00,301.63,66.99,1007.86,3.52,149.53,1.574364,0,0,202638.2
2016-04-30,24:00:00,304.01,66.15,1004.66,5.14,169.96,6.884179,0,0,204165
2016-05-31,24:00:00,304.06,67.21,1002.1,2.9,205.53,185.730192,0,0,161114.1
2016-06-30,24:00:00,302.64,70.54,1001.19,3.65,251.27,106.014672,0,0,120509
2016-07-31,24:00:00,302.2,71.57,1001.6,3.86,237.13,99.416484,0,0,131429.9
2016-08-31,24:00:00,302.64,68.99,1001.38,3.51,248.66,137.763,0,0,145279.5
2016-09-30,24:00:00,302.17,70.31,1002.45,2.6,241.93,86.175648,0,0,132447.3
2016-10-31,24:00:00,301.85,65.68,1004.69,0.65,14.55,37.226844,0,0,155621.2
2016-11-30,24:00:00,299.99,68.1,1007.68,3.81,38.86,22.411037,0,0,156218.7
2016-12-31,24:00:00,298.17,73.87,1008.4,3.55,35.01,77.974704,0,0,154322.9
2017-01-31,24:00:00,298.05,70.71,1009.88,4.1,51.78,12.071452,0,0,172588
2017-02-28,24:00:00,298.51,65.73,1010.01,2.69,86.86,0.964009,0,0,182938.8
2017-03-31,24:00:00,301.63,66.11,1006.66,3.71,149.52,23.294304,0,0,210476.1
2017-04-30,24:00:00,303.84,64.64,1004,4.66,170.49,9.251971,0,0,189376.6
2017-05-31,24:00:00,304.83,63.18,1002.2,3.39,188.18,40.145832,0,0,148150.4
2017-06-30,24:00:00,303.72,64.36,1001.22,3.51,234.16,143.182944,0,0,123025.1
2017-07-31,24:00:00,303.14,66.91,1001.68,2.99,247.12,109.398564,0,0,135511.1
2017-08-31,24:00:00,301.94,75.59,1001.27,2.87,238.45,196.37316,0,0,124557.3
2017-09-30,24:00:00,301.27,79.38,1003.19,2.32,215.43,277.13934,0,0,114399.6
2017-10-31,24:00:00,301.06,79.08,1004.02,0.14,66.26,197.162568,0,0,120362.1
2017-11-30,24:00:00,299.76,82.35,1006.04,4.61,30.64,233.646336,0,0,125222.2
2017-12-31,24:00:00,298.26,75.62,1009.02,4.31,40.85,10.078283,0,0,159459.6
2018-01-31,24:00:00,297.45,72.29,1008.47,3.8,49.09,6.700914,0,0,170868
2018-02-28,24:00:00,298.5,69.66,1009.32,3.06,71.85,4.081392,0,0,162402
2018-03-31,24:00:00,301.06,66.64,1006.66,2.79,135.47,9.8595,0,0,202226.3
2018-04-30,24:00:00,303.53,65.62,1004.5,4.21,154.27,15.564049,0,0,198019.8
2018-05-31,24:00:00,303.96,68.32,1002.17,4.04,172.61,57.65022,0,0,137064.6
2018-06-30,24:00:00,303.51,65.22,1000.59,3.76,232.23,104.675508,0,0,124066.4
2018-07-31,24:00:00,303.2,64.62,1000.45,4.42,244.72,70.7616,0,0,134126.4
2018-08-31,24:00:00,302.73,66.99,1001.11,3.8,257,135.894492,0,0,133284
2018-09-30,24:00:00,301.94,72.45,1003.8,1.62,198.01,109.068444,0,0,138891.5
2018-10-31,24:00:00,301.13,74.67,1006.34,2.05,57.33,96.484608,0,0,147200.7
2018-11-30,24:00:00,300.04,75.52,1008.19,4.18,52.72,67.660884,0,0,149969.8
2018-12-31,24:00:00,298.43,77.17,1009.13,4.26,38.21,126.418788,0,0,150652.9
2019-01-31,24:00:00,297.43,70.97,1011.05,4,55.33,2.185788,0,0,171046.7
2019-02-28,24:00:00,299.84,69.63,1009.55,3.08,95.71,4.575661,0,0,177520.2
2019-03-31,24:00:00,302.09,63.45,1007.43,3.89,146.47,2.269854,0,0,219378
2019-04-30,24:00:00,303.78,63.59,1004.82,4.18,157.37,12.850945,0,0,209175.7
2019-05-31,24:00:00,304.49,67.77,1002.22,4.65,180.64,54.770004,0,0,135290.7
2019-06-30,24:00:00,304.49,64.83,1000.63,3.38,204.31,125.313588,0,0,117402.6
2019-07-31,24:00:00,302.95,68.79,1001.21,3.79,223.11,192.047832,0,0,121144.1
2019-08-31,24:00:00,301.93,73.45,1001.71,4.27,232.38,247.58028,0,0,124702.4
