Date,UT time,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation
2016-01-31,24:00:00,297.58,72.78,1010.16,2.9,60.23,14.738202,0,0,170475.4
2016-02-28,24:00:00,299.37,70.81,1009.28,2.62,109.83,2.414077,0,0,182626.7
2016-03-31,24:00:00,301.78,65.13,1007.26,3.39,148.35,1.716715,0,0,203580.7
2016-04-30,24:00:00,304.21,64.24,1004.07,4.94,168.8,6.842866,0,0,204857
2016-05-31,24:00:00,304.11,65.87,1001.55,2.74,205.13,176.643468,0,0,162551.6
2016-06-30,24:00:00,302.57,69.97,1000.66,3.5,251.71,102.239064,0,0,121386.2
2016-07-31,24:00:00,302.13,71.03,1001.07,3.74,237.82,95.937948,0,0,131489.8
2016-08-31,24:00:00,302.59,68.43,1000.85,3.38,248.99,131.301648,0,0,144656.6
2016-09-30,24:00:00,302.1,70.06,1001.9,2.41,242.35,85.4433,0,0,132449.6
2016-10-31,24:00:00,301.75,65.63,1004.12,0.61,22.12,36.32418,0,0,156601.1
2016-11-30,24:00:00,299.88,67.62,1007.1,3.73,38.86,21.520181,0,0,156668.2
2016-12-31,24:00:00,297.94,73.96,1007.83,3.45,34.17,67.881492,0,0,155210.1
2017-01-31,24:00:00,297.92,70.33,1009.28,4.01,51.01,13.482083,0,0,173116.6
2017-02-28,24:00:00,298.48,64.56,1009.41,2.67,84.59,1.034353,0,0,183675.8
2017-03-31,24:00:00,301.79,64.25,1006.06,3.58,147.99,24.756059,0,0,210589
2017-04-30,24:00:00,304.09,62.27,1003.41,4.44,169.3,8.808876,0,0,190586.1
2017-05-31,24:00:00,305.05,60.87,1001.63,3.21,188.65,40.17888,0,0,149913
2017-06-30,24:00:00,303.81,62.66,1000.67,3.41,235.64,132.825276,0,0,124603.2
2017-07-31,24:00:00,303.16,65.91,1001.13,2.85,248.1,111.240828,0,0,135597.7
2017-08-31,24:00:00,301.82,75.68,1000.74,2.71,239.14,199.10574,0,0,124510.5
2017-09-30,24:00:00,301.13,79.75,1002.64,2.21,215.16,284.7798,0,0,114665
2017-10-31,24:00:00,300.9,79.56,1003.45,0.16,51.76,201.481884,0,0,120215.7
2017-11-30,24:00:00,299.55,83.05,1005.47,4.44,29.11,230.500476,0,0,125042.4
2017-12-31,24:00:00,298.02,76.44,1008.44,4.18,39.87,10.391537,0,0,159250.3
2018-01-31,24:00:00,297.22,72.78,1007.88,3.71,47.96,7.024291,0,0,171427
2018-02-28,24:00:00,298.4,69.27,1008.73,3.01,70.56,4.826549,0,0,162590.8
2018-03-31,24:00:00,301.11,65.24,1006.07,2.69,133.69,10.899716,0,0,202197.3
2018-04-30,24:00:00,303.71,63.79,1003.91,4.08,153.32,15.301991,0,0,198684.7
2018-05-31,24:00:00,304.07,66.7,1001.59,3.86,172.03,56.7729,0,0,138383.9
2018-06-30,24:00:00,303.56,63.76,1000.05,3.71,234.57,93.991428,0,0,125113.6
2018-07-31,24:00:00,303.25,63.33,999.93,4.33,245.44,75.425148,0,0,134718.2
2018-08-31,24:00:00,302.79,65.78,1000.57,3.69,257.57,126.062136,0,0,132686.4
2018-09-30,24:00:00,301.9,72.02,1003.24,1.5,196.21,111.359448,0,0,139722.2
2018-10-31,24:00:00,300.93,75.03,1005.77,1.99,56.13,94.498848,0,0,147795.6
2018-11-30,24:00:00,299.85,75.86,1007.61,4.05,51.73,68.909292,0,0,150535.3
2018-12-31,24:00:00,298.25,77.52,1008.55,4.13,37.61,122.559588,0,0,151178.9
2019-01-31,24:00:00,297.27,70.81,1010.45,3.91,54.43,2.256096,0,0,171475.3
2019-02-28,24:00:00,299.94,68.31,1008.93,3.02,94.61,5.001851,0,0,177950.1
2019-03-31,24:00:00,302.26,61.49,1006.83,3.77,145.45,2.525561,0,0,219810.4
2019-04-30,24:00:00,304,61.48,1004.22,4.04,156.32,12.034739,0,0,209866.3
2019-05-31,24:00:00,304.69,65.72,1001.64,4.41,180.03,53.7912,0,0,137124.4
2019-06-30,24:00:00,304.63,63.01,1000.07,3.21,205.65,108.861876,0,0,119050.8
2019-07-31,24:00:00,302.96,67.73,1000.67,3.65,225.26,179.930628,0,0,121459.4
2019-08-31,24:00:00,301.88,72.81,1001.18,4.14,233.46,254.62332,0,0,125541.1
