Date,UT time,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation
2016-01-31,24:00:00,297.82,72.24,1010.84,3.05,60.9,14.2429,0,0,170720.7
2016-02-28,24:00:00,299.46,71.25,1009.98,2.72,109.4,2.289751,0,0,182240
2016-03-31,24:00:00,301.67,66.75,1007.98,3.48,148.57,1.610664,0,0,203334.8
2016-04-30,24:00:00,304.01,66.24,1004.8,5.08,169.69,7.067146,0,0,203306.2
2016-05-31,24:00:00,304.03,67.37,1002.24,2.89,204.9,183.703608,0,0,160694
2016-06-30,24:00:00,302.62,70.66,1001.34,3.64,249.73,104.251356,0,0,120701
2016-07-31,24:00:00,302.17,71.7,1001.75,3.87,236.2,97.319664,0,0,131039.4
2016-08-31,24:00:00,302.6,69.21,1001.53,3.49,246.98,133.099308,0,0,144285.4
2016-09-30,24:00:00,302.13,70.59,1002.59,2.56,239.69,88.692876,0,0,131856.6
2016-10-31,24:00:00,301.81,65.99,1004.81,0.58,16.25,37.277424,0,0,155745.4
2016-11-30,24:00:00,299.98,68.25,1007.78,3.84,38.62,22.449708,0,0,156159.8
2016-12-31,24:00:00,298.16,73.93,1008.5,3.57,34.51,72.888588,0,0,154478
2017-01-31,24:00:00,298.06,70.64,1009.97,4.16,51.09,12.817123,0,0,172812.1
2017-02-28,24:00:00,298.53,65.53,1010.11,2.74,84.98,0.971648,0,0,183283.7
2017-03-31,24:00:00,301.63,66.07,1006.78,3.67,148.73,24.346336,0,0,210255.4
2017-04-30,24:00:00,303.83,64.71,1004.13,4.63,170.39,9.41373,0,0,188972.5
2017-05-31,24:00:00,304.82,63.18,1002.34,3.41,188.38,41.215968,0,0,147792.7
2017-06-30,24:00:00,303.73,64.19,1001.36,3.55,233.25,139.568544,0,0,123592.8
2017-07-31,24:00:00,303.14,66.9,1001.82,2.94,245.27,110.720736,0,0,134748.1
2017-08-31,24:00:00,301.91,75.83,1001.41,2.86,237.13,201.936168,0,0,123873.1
2017-09-30,24:00:00,301.25,79.54,1003.32,2.37,214.76,290.428632,0,0,114070.6
2017-10-31,24:00:00,301.05,79.26,1004.13,0.13,77.57,202.289364,0,0,119986.6
2017-11-30,24:00:00,299.75,82.54,1006.12,4.6,30.41,236.91744,0,0,124497.5
2017-12-31,24:00:00,298.26,75.83,1009.11,4.34,40.52,10.176761,0,0,159275.9
2018-01-31,24:00:00,297.43,72.51,1008.56,3.86,48.27,6.940786,0,0,171161.5
2018-02-28,24:00:00,298.51,69.75,1009.42,3.12,70.67,4.34254,0,0,162361.2
2018-03-31,24:00:00,301.05,66.7,1006.77,2.75,134.1,9.953701,0,0,201998.9
2018-04-30,24:00:00,303.53,65.65,1004.63,4.17,153.92,15.938291,0,0,197378.9
2018-05-31,24:00:00,303.95,68.3,1002.3,4.02,172.87,60.253452,0,0,136104.7
2018-06-30,24:00:00,303.49,65.26,1000.74,3.84,231.78,99.653256,0,0,124082.7
2018-07-31,24:00:00,303.17,64.79,1000.61,4.43,243.36,77.224032,0,0,134299.9
2018-08-31,24:00:00,302.72,67.05,1001.26,3.75,254.94,133.017984,0,0,132582.3
2018-09-30,24:00:00,301.9,72.7,1003.93,1.64,196.4,110.538216,0,0,138695.3
2018-10-31,24:00:00,301.07,75.11,1006.45,2.03,57.17,98.575704,0,0,146597
2018-11-30,24:00:00,300.01,75.76,1008.28,4.2,52.19,68.85918,0,0,150046
2018-12-31,24:00:00,298.42,77.35,1009.22,4.29,37.71,128.483388,0,0,150817.1
2019-01-31,24:00:00,297.42,71.01,1011.14,4.05,54.55,2.131114,0,0,171366.3
2019-02-28,24:00:00,299.88,69.54,1009.65,3.1,94.46,4.580532,0,0,177728
2019-03-31,24:00:00,302.1,63.39,1007.55,3.86,145.96,2.391859,0,0,219562.2
2019-04-30,24:00:00,303.79,63.57,1004.94,4.14,157.09,12.685504,0,0,209147.2
2019-05-31,24:00:00,304.45,67.97,1002.36,4.63,180.68,55.429848,0,0,134701.5
2019-06-30,24:00:00,304.47,64.91,1000.77,3.41,203.84,115.783704,0,0,117468.8
2019-07-31,24:00:00,302.91,68.96,1001.37,3.83,222.79,190.245348,0,0,120549.2
2019-08-31,24:00:00,301.88,73.64,1001.87,4.32,231.67,255.293676,0,0,124975.1
