Date,UT time,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation
2016-01-31,24:00:00,297.7,72.45,1010.41,2.94,61.36,14.699567,0,0,170369.3
2016-02-28,24:00:00,299.4,71.14,1009.53,2.67,110.86,2.292424,0,0,182332.7
2016-03-31,24:00:00,301.69,66.07,1007.52,3.46,149.06,1.64269,0,0,203011.7
2016-04-30,24:00:00,304.11,65.14,1004.32,5.05,169.41,6.8337,0,0,204649
2016-05-31,24:00:00,304.09,66.48,1001.78,2.82,205.44,180.887328,0,0,161893.2
2016-06-30,24:00:00,302.6,70.23,1000.88,3.58,251.69,104.515452,0,0,120912.4
2016-07-31,24:00:00,302.17,71.26,1001.29,3.79,237.61,97.973316,0,0,131511.7
2016-08-31,24:00:00,302.62,68.67,1001.07,3.45,249.06,135.01224,0,0,145097.5
2016-09-30,24:00:00,302.14,70.13,1002.13,2.51,242.46,85.41054,0,0,132524.1
2016-10-31,24:00:00,301.81,65.59,1004.36,0.64,17.97,36.634788,0,0,156120.3
2016-11-30,24:00:00,299.94,67.83,1007.35,3.77,38.89,21.96828,0,0,156459.1
2016-12-31,24:00:00,298.05,73.91,1008.08,3.49,34.64,73.53486,0,0,154744.6
2017-01-31,24:00:00,297.98,70.53,1009.54,4.04,51.49,12.683714,0,0,172835.8
2017-02-28,24:00:00,298.49,65.16,1009.67,2.67,85.96,0.999154,0,0,183271.2
2017-03-31,24:00:00,301.71,65.15,1006.32,3.65,148.85,23.859025,0,0,210560.3
2017-04-30,24:00:00,303.97,63.39,1003.66,4.55,169.92,8.998726,0,0,190050.9
2017-05-31,24:00:00,304.94,61.98,1001.87,3.29,188.41,40.014,0,0,149122.3
2017-06-30,24:00:00,303.76,63.52,1000.9,3.45,235.04,138.33666,0,0,123746.7
2017-07-31,24:00:00,303.15,66.4,1001.36,2.93,247.86,110.08602,0,0,135642.3
2017-08-31,24:00:00,301.88,75.59,1000.96,2.79,238.99,196.59852,0,0,124635
2017-09-30,24:00:00,301.2,79.55,1002.87,2.26,215.4,279.4878,0,0,114568.3
2017-10-31,24:00:00,300.98,79.3,1003.69,0.15,57.26,198.674028,0,0,120340
2017-11-30,24:00:00,299.65,82.68,1005.71,4.52,29.9,231.525288,0,0,125233
2017-12-31,24:00:00,298.14,76.01,1008.7,4.24,40.4,10.229267,0,0,159380.2
2018-01-31,24:00:00,297.33,72.5,1008.13,3.75,48.63,6.837242,0,0,171109.7
2018-02-28,24:00:00,298.45,69.44,1008.99,3.03,71.36,4.418953,0,0,162503.7
2018-03-31,24:00:00,301.09,65.9,1006.32,2.74,134.76,10.380913,0,0,202243.4
2018-04-30,24:00:00,303.62,64.66,1004.16,4.14,153.82,15.363742,0,0,198442.7
2018-05-31,24:00:00,304.02,67.48,1001.84,3.95,172.29,56.890764,0,0,137900.6
2018-06-30,24:00:00,303.54,64.46,1000.27,3.73,233.49,99.86868,0,0,124602.6
2018-07-31,24:00:00,303.23,63.93,1000.14,4.37,245.28,72.320544,0,0,134409.3
2018-08-31,24:00:00,302.76,66.36,1000.79,3.75,257.56,131.228964,0,0,133085.1
2018-09-30,24:00:00,301.92,72.19,1003.48,1.56,197.4,109.996596,0,0,139331.4
2018-10-31,24:00:00,301.04,74.78,1006.02,2.02,56.75,95.232204,0,0,147591.8
2018-11-30,24:00:00,299.95,75.66,1007.86,4.11,52.3,68.28606,0,0,150236.8
2018-12-31,24:00:00,298.34,77.32,1008.81,4.19,37.97,124.48782,0,0,150895.1
2019-01-31,24:00:00,297.34,70.89,1010.71,3.94,54.98,2.237546,0,0,171232.6
2019-02-28,24:00:00,299.89,68.96,1009.2,3.05,95.32,4.792856,0,0,177711
2019-03-31,24:00:00,302.18,62.44,1007.09,3.83,146.02,2.37792,0,0,219580.5
2019-04-30,24:00:00,303.89,62.49,1004.48,4.11,156.88,12.46604,0,0,209518
2019-05-31,24:00:00,304.6,66.66,1001.88,4.53,180.36,54.173412,0,0,136338.4
2019-06-30,24:00:00,304.57,63.88,1000.3,3.29,205.08,118.191528,0,0,118230.3
2019-07-31,24:00:00,302.97,68.21,1000.9,3.71,224.27,186.46182,0,0,121384.3
2019-08-31,24:00:00,301.91,73.09,1001.4,4.2,233.05,249.827976,0,0,125096.4
