Date,UT time,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation
2016-01-31,24:00:00,297.9,72.26,1011.2,3.18,59.45,13.376203,0,0,171231.1
2016-02-28,24:00:00,299.51,71.41,1010.36,2.76,106.3,2.511556,0,0,182286.8
2016-03-31,24:00:00,301.65,67.35,1008.39,3.45,146.96,1.694887,0,0,204081.4
2016-04-30,24:00:00,303.93,67.19,1005.23,5.05,169.32,7.455301,0,0,201405.9
2016-05-31,24:00:00,303.96,68.21,1002.67,2.92,203.95,187.287696,0,0,159348.6
2016-06-30,24:00:00,302.62,71.04,1001.77,3.71,247.02,103.12272,0,0,120507.5
2016-07-31,24:00:00,302.15,72.02,1002.2,3.93,234.65,95.724396,0,0,130516.5
2016-08-31,24:00:00,302.56,69.75,1001.97,3.51,244.4,131.951952,0,0,142542.7
2016-09-30,24:00:00,302.1,71.09,1003.02,2.57,236.15,92.844324,0,0,130930.3
2016-10-31,24:00:00,301.79,66.46,1005.21,0.46,17.33,37.304424,0,0,155653.5
2016-11-30,24:00:00,300.02,68.67,1008.13,3.93,38.29,23.132938,0,0,155881.9
2016-12-31,24:00:00,298.24,73.92,1008.85,3.65,34.14,68.504292,0,0,154474.9
2017-01-31,24:00:00,298.14,70.66,1010.32,4.3,50.29,13.98281,0,0,172950
2017-02-28,24:00:00,298.57,65.71,1010.49,2.84,82.61,0.973718,0,0,183643.5
2017-03-31,24:00:00,301.56,66.9,1007.2,3.64,147.62,25.594499,0,0,209633.3
2017-04-30,24:00:00,303.73,65.79,1004.57,4.65,170.4,9.984168,0,0,187675.9
2017-05-31,24:00:00,304.7,64.2,1002.78,3.51,188.73,43.9614,0,0,146330.8
2017-06-30,24:00:00,303.71,64.57,1001.8,3.68,231.52,137.841192,0,0,124332.4
2017-07-31,24:00:00,303.15,67.1,1002.25,2.94,241.98,111.105864,0,0,133311
2017-08-31,24:00:00,301.92,76.09,1001.84,2.9,235.03,214.493976,0,0,123026.5
2017-09-30,24:00:00,301.28,79.6,1003.73,2.49,213.93,299.11212,0,0,113989.8
2017-10-31,24:00:00,301.09,79.36,1004.51,0.1,119.09,211.84776,0,0,119324.5
2017-11-30,24:00:00,299.82,82.57,1006.45,4.65,30.55,248.183028,0,0,122973.6
2017-12-31,24:00:00,298.35,75.89,1009.45,4.44,40.35,10.876144,0,0,158938.1
2018-01-31,24:00:00,297.48,72.71,1008.92,4,47.34,7.344871,0,0,171298
2018-02-28,24:00:00,298.54,70.16,1009.79,3.24,69.25,4.386049,0,0,162249.8
2018-03-31,24:00:00,301,67.5,1007.18,2.75,131.99,9.891896,0,0,201578.3
2018-04-30,24:00:00,303.43,66.55,1005.05,4.15,153.36,17.088833,0,0,195513.9
2018-05-31,24:00:00,303.88,68.95,1002.72,4.05,173.55,65.776968,0,0,134174
2018-06-30,24:00:00,303.44,65.9,1001.18,4,230.41,96.885144,0,0,123841.4
2018-07-31,24:00:00,303.12,65.54,1001.07,4.5,241.25,86.792112,0,0,134186.3
2018-08-31,24:00:00,302.69,67.55,1001.7,3.76,251.51,133.199532,0,0,131862.5
2018-09-30,24:00:00,301.86,73.18,1004.34,1.72,194.4,112.689792,0,0,138304.5
2018-10-31,24:00:00,301.05,75.64,1006.82,2.02,57.35,103.661208,0,0,145492
2018-11-30,24:00:00,300.03,76.06,1008.62,4.28,51.64,74.451672,0,0,149521.1
2018-12-31,24:00:00,298.49,77.51,1009.57,4.4,37.15,131.799348,0,0,150970.6
2019-01-31,24:00:00,297.49,71.16,1011.49,4.18,53.59,2.080725,0,0,171856.9
2019-02-28,24:00:00,299.89,69.96,1010.02,3.15,92.71,4.463741,0,0,177829.5
2019-03-31,24:00:00,302.04,64.19,1007.97,3.85,145.11,2.641325,0,0,219673.2
2019-04-30,24:00:00,303.73,64.41,1005.36,4.13,156.74,13.121615,0,0,208207.4
2019-05-31,24:00:00,304.33,69.05,1002.79,4.7,180.92,57.684888,0,0,132982.5
2019-06-30,24:00:00,304.38,65.71,1001.2,3.54,203.38,109.721664,0,0,116918.5
2019-07-31,24:00:00,302.86,69.51,1001.82,3.96,221.89,186.967224,0,0,119676
2019-08-31,24:00:00,301.85,74.07,1002.33,4.47,230.65,264.9663,0,0,125360.3
