Date,UT time,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation
2016-01-31,24:00:00,297.76,72.47,1010.77,3.07,59.68,14.038542,0,0,170953
2016-02-28,24:00:00,299.46,71.05,1009.91,2.69,107.74,2.431586,0,0,182469.5
2016-03-31,24:00:00,301.73,66.21,1007.92,3.42,147.61,1.682464,0,0,203982.4
2016-04-30,24:00:00,304.06,65.86,1004.75,5,169.17,7.184689,0,0,202907.9
2016-05-31,24:00:00,304.03,67.17,1002.21,2.84,204.37,181.381032,0,0,160787.7
2016-06-30,24:00:00,302.6,70.58,1001.3,3.6,248.89,102.168036,0,0,121012.9
2016-07-31,24:00:00,302.13,71.63,1001.74,3.85,235.84,95.268024,0,0,130855.4
2016-08-31,24:00:00,302.57,69.2,1001.51,3.45,246.09,129.678552,0,0,143473.3
2016-09-30,24:00:00,302.09,70.7,1002.56,2.49,238.4,89.987724,0,0,131522.8
2016-10-31,24:00:00,301.76,66.17,1004.76,0.52,19.96,37.131552,0,0,156057.1
2016-11-30,24:00:00,299.95,68.22,1007.71,3.84,38.49,22.291654,0,0,156231.3
2016-12-31,24:00:00,298.1,73.97,1008.43,3.56,34.05,67.43772,0,0,154813
2017-01-31,24:00:00,298.04,70.5,1009.89,4.17,50.51,13.705549,0,0,173060
2017-02-28,24:00:00,298.53,65.14,1010.04,2.76,83.31,0.99668,0,0,183680.5
2017-03-31,24:00:00,301.67,65.64,1006.73,3.61,147.81,25.380504,0,0,210109.2
2017-04-30,24:00:00,303.89,64.2,1004.09,4.55,169.98,9.433573,0,0,188994.8
2017-05-31,24:00:00,304.87,62.65,1002.3,3.38,188.62,42.062688,0,0,147945.5
2017-06-30,24:00:00,303.76,63.66,1001.33,3.55,233.09,135.012708,0,0,124406.7
2017-07-31,24:00:00,303.15,66.62,1001.79,2.88,244.38,111.770244,0,0,134308
2017-08-31,24:00:00,301.86,75.99,1001.38,2.81,236.53,207.222192,0,0,123504
2017-09-30,24:00:00,301.21,79.71,1003.28,2.37,214.31,297.851652,0,0,114066.2
2017-10-31,24:00:00,301,79.49,1004.07,0.12,80.95,206.985312,0,0,119703.6
2017-11-30,24:00:00,299.69,82.82,1006.04,4.56,29.9,239.1228,0,0,123936.8
2017-12-31,24:00:00,298.2,76.16,1009.03,4.33,40.09,10.450004,0,0,159088.3
2018-01-31,24:00:00,297.36,72.77,1008.49,3.87,47.51,7.185067,0,0,171450.1
2018-02-28,24:00:00,298.48,69.74,1009.35,3.14,69.66,4.664329,0,0,162387.7
2018-03-31,24:00:00,301.06,66.43,1006.72,2.71,132.73,10.29857,0,0,201843.4
2018-04-30,24:00:00,303.56,65.26,1004.57,4.11,153.42,16.199993,0,0,197052.7
2018-05-31,24:00:00,303.97,67.92,1002.26,3.96,172.88,61.727652,0,0,135863.4
2018-06-30,24:00:00,303.49,64.93,1000.72,3.87,232.1,94.400316,0,0,124374.1
2018-07-31,24:00:00,303.17,64.57,1000.59,4.42,242.79,82.268784,0,0,134511.5
2018-08-31,24:00:00,302.73,66.79,1001.23,3.7,253.86,129.16962,0,0,132057.1
2018-09-30,24:00:00,301.87,72.73,1003.88,1.62,194.93,112.100616,0,0,138840.8
2018-10-31,24:00:00,300.98,75.47,1006.39,2,56.78,99.47322,0,0,146405
2018-11-30,24:00:00,299.94,76,1008.2,4.18,51.63,70.57152,0,0,150150.1
2018-12-31,24:00:00,298.38,77.54,1009.15,4.28,37.28,128.108916,0,0,151065.2
2019-01-31,24:00:00,297.39,71,1011.06,4.06,53.87,2.121499,0,0,171676.4
2019-02-28,24:00:00,299.92,69.18,1009.57,3.09,93.43,4.694965,0,0,177941.6
2019-03-31,24:00:00,302.15,62.92,1007.5,3.81,145.33,2.564092,0,0,219766.1
2019-04-30,24:00:00,303.85,63.07,1004.89,4.08,156.61,12.460072,0,0,209184.2
2019-05-31,24:00:00,304.48,67.6,1002.32,4.57,180.52,55.756332,0,0,134761.4
2019-06-30,24:00:00,304.49,64.51,1000.73,3.39,203.99,106.795224,0,0,117909.6
2019-07-31,24:00:00,302.89,68.79,1001.34,3.82,223.14,184.867992,0,0,120321.3
2019-08-31,24:00:00,301.85,73.59,1001.86,4.33,231.58,261.7497,0,0,125390.7
