Date,UT time,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation
2016-01-31,24:00:00,297.88,71.91,1010.83,2.97,63.52,14.685239,0,0,170036.2
2016-02-28,24:00:00,299.43,71.64,1009.95,2.75,113.2,2.070948,0,0,181795.6
2016-03-31,24:00:00,301.57,67.55,1007.93,3.59,150.49,1.515789,0,0,201929.8
2016-04-30,24:00:00,303.97,66.53,1004.71,5.23,170.4,6.760192,0,0,204656
2016-05-31,24:00:00,304.07,67.39,1002.14,2.95,206.04,190.0305,0,0,161158.7
2016-06-30,24:00:00,302.67,70.58,1001.23,3.69,252.36,107.821044,0,0,120211.2
2016-07-31,24:00:00,302.24,71.6,1001.62,3.86,237.71,101.66778,0,0,131720.9
2016-08-31,24:00:00,302.68,68.96,1001.41,3.55,249.85,142.84494,0,0,146171.6
2016-09-30,24:00:00,302.21,70.17,1002.48,2.66,243.48,84.48084,0,0,132909.1
2016-10-31,24:00:00,301.9,65.49,1004.75,0.72,12.24,37.596672,0,0,155293.6
2016-11-30,24:00:00,300.02,68.09,1007.77,3.81,39.05,22.536072,0,0,156165
2016-12-31,24:00:00,298.23,73.79,1008.49,3.55,35.59,83.946132,0,0,154037
2017-01-31,24:00:00,298.07,70.83,1009.97,4.07,52.49,11.216344,0,0,172291
2017-02-28,24:00:00,298.5,66.11,1010.09,2.67,88.82,0.943014,0,0,182514.9
2017-03-31,24:00:00,301.59,66.55,1006.72,3.78,150.42,22.249879,0,0,210628.8
2017-04-30,24:00:00,303.78,65.13,1004.05,4.73,170.78,9.228888,0,0,189432.4
2017-05-31,24:00:00,304.78,63.69,1002.25,3.41,187.88,39.322296,0,0,148016.7
2017-06-30,24:00:00,303.69,64.85,1001.26,3.5,234.55,148.205556,0,0,122272.3
2017-07-31,24:00:00,303.13,67.13,1001.73,3.06,248.29,108.129132,0,0,136109.2
2017-08-31,24:00:00,301.99,75.41,1001.3,2.91,239.29,192.263328,0,0,125077.5
2017-09-30,24:00:00,301.32,79.18,1003.24,2.31,216,264.885156,0,0,114617.6
2017-10-31,24:00:00,301.11,78.83,1004.08,0.16,62.34,192.317832,0,0,120678.4
2017-11-30,24:00:00,299.81,82.06,1006.13,4.65,31.12,231.912756,0,0,125809.2
2017-12-31,24:00:00,298.32,75.29,1009.12,4.32,41.3,9.929495,0,0,159639.8
2018-01-31,24:00:00,297.51,72.03,1008.55,3.78,49.96,6.442438,0,0,170533.1
2018-02-28,24:00:00,298.52,69.67,1009.41,3.04,73.04,3.738629,0,0,162394.6
2018-03-31,24:00:00,301.05,66.91,1006.73,2.83,136.84,9.56493,0,0,202405.3
2018-04-30,24:00:00,303.49,66.02,1004.56,4.26,154.73,15.358799,0,0,198380.3
2018-05-31,24:00:00,303.94,68.7,1002.22,4.09,172.51,55.757376,0,0,137470.9
2018-06-30,24:00:00,303.52,65.5,1000.63,3.71,232.07,110.821752,0,0,123829.1
2018-07-31,24:00:00,303.21,64.78,1000.47,4.43,245.6,64.724256,0,0,133862.4
2018-08-31,24:00:00,302.72,67.21,1001.14,3.87,258.44,140.217516,0,0,133928.5
2018-09-30,24:00:00,301.97,72.38,1003.86,1.63,199.52,107.535888,0,0,138888.6
2018-10-31,24:00:00,301.21,74.3,1006.41,2.07,57.69,95.210208,0,0,147531.2
2018-11-30,24:00:00,300.1,75.29,1008.28,4.2,53.32,66.21246,0,0,149813.9
2018-12-31,24:00:00,298.48,76.98,1009.23,4.26,38.73,125.067636,0,0,150424.1
2019-01-31,24:00:00,297.46,70.98,1011.14,3.98,56.13,2.198191,0,0,170693.4
2019-02-28,24:00:00,299.8,69.97,1009.63,3.09,96.9,4.482684,0,0,177271.6
2019-03-31,24:00:00,302.04,63.94,1007.5,3.94,147.07,2.133318,0,0,219134.1
2019-04-30,24:00:00,303.72,64.1,1004.88,4.24,157.79,13.131518,0,0,209078.5
2019-05-31,24:00:00,304.46,68.11,1002.26,4.71,180.68,54.479376,0,0,135305.6
2019-06-30,24:00:00,304.47,65.18,1000.68,3.39,204.34,136.09512,0,0,117016.8
2019-07-31,24:00:00,302.98,68.9,1001.24,3.79,222.87,195.325488,0,0,121538.8
2019-08-31,24:00:00,301.97,73.44,1001.72,4.25,232.67,240.718392,0,0,124313.1
